3039154;42.57952;1.65362
3039163;42.46372;1.49129
3039604;42.54277;1.73361
3039678;42.55623;1.53319
3040051;42.50729;1.53414
3040132;42.54499;1.51483
3040686;42.53474;1.58014
3041204;42.5676;1.59756
3041519;42.57205;1.48453
3041563;42.50779;1.52109
290503;25.16744;55.40708
290594;25.56473;55.55517
291074;25.78953;55.9432
291279;23.14355;53.7881
291339;25.27623;56.36256
291489;24.81089;56.10657
291580;23.65416;53.70522
291696;25.33132;56.34199
291763;25.07462;56.35545
291775;25.20795;55.24969
292223;25.07725;55.30927
292231;25.59246;56.26176
292239;25.61955;56.27291
292672;25.33737;55.41206
292688;24.11028;52.73056
292799;25.3299;56.02188
292856;25.47819;55.53377
292862;24.80073;56.12726
292878;25.11641;56.34141
292913;24.19167;55.76056
292932;25.40177;55.47878
292953;25.28812;55.88157
292968;24.45118;54.39696
414901;25.40001;55.52925
6691109;25.10223;55.16433
7289825;25.26038;55.29891
8057551;24.42588;54.605
8469788;25.08525;55.14646
8469805;25.03878;55.21725
8469811;25.09538;55.16171
8475866;25.40338;55.4334
8475913;25.40977;55.47106
8475923;25.41814;55.50791
8541937;25.22177;55.35733
8541977;25.2106;55.27787
10172907;25.19408;55.2781
11048853;25.00827;55.15682
11524601;25.00255;55.10811
12042052;24.30978;54.62944
12042053;24.35893;54.48267
12047416;24.39268;54.70779
12047417;25.14479;56.24764
12470174;23.75355;55.32739
1120471;33.54149;69.73446
1120473;34.3436;67.90567
1120483;34.65389;61.19778
1120484;35.3782;64.77457
1120487;35.94831;66.42132
1120497;34.24348;70.72855
1120500;33.32462;68.44068
1120501;36.08352;66.84029
1120543;33.43778;69.02774
1120616;36.52947;71.3441
1120627;31.9848;65.4736
1120711;34.34264;61.74675
1120863;32.84734;68.44573
1120879;33.14641;68.79213
1120985;30.95962;61.86037
1121045;32.3726;66.17708
1121271;37.46572;69.61131
1121381;34.73525;66.97379
1121418;32.93742;68.64622
1121855;32.25122;63.85553
1122068;33.68847;68.40205
1122189;33.97509;63.72868
1122402;33.69032;63.86361
1122408;34.59431;61.26895
1122464;33.52118;64.42116
1122705;36.88168;70.27674
1122747;32.62998;65.87806
1123004;36.73605;69.53451
1123343;35.69941;66.06164
1123424;34.85501;69.64917
1123666;32.24139;62.94936
1123906;31.00575;66.40001
1123935;33.20204;69.5152
1123963;36.09916;66.20823
1124621;35.00553;68.85578
1124973;34.57169;70.58859
1125155;33.30294;62.1474
1125267;33.28744;69.91283
1125362;35.03975;69.00685
1125444;36.66757;65.7529
1125497;33.42386;69.37684
1125866;31.80347;66.32376
1125890;36.97984;70.73928
1125896;34.10737;64.3052
1125962;32.52154;67.41315
1126216;33.69056;69.36881
1126263;34.00037;68.71346
1126266;36.13529;65.8297
1126606;35.02298;69.35112
1126710;32.56521;67.03324
1126796;33.50998;65.67632
1126884;34.58962;69.76005
1126935;34.79023;71.10962
1127001;32.98333;67.96517
1127110;36.21544;65.93249
